[ 2026-07-27 00:55:00,644 ] 21 root - INFO - Initiate Data Ingestion
[ 2026-07-27 00:55:07,506 ] 67 root - INFO - Performed train test split on the Dataframe
[ 2026-07-27 00:55:07,506 ] 69 root - INFO - Exited split_data_as_train_test method of DataIngestion class
[ 2026-07-27 00:55:07,507 ] 75 root - INFO - Exporting train and test file path.
[ 2026-07-27 00:55:07,601 ] 85 root - INFO - Exported train and test file path.
[ 2026-07-27 00:55:07,601 ] 23 root - INFO - Data Ingestion Completed.
[ 2026-07-27 00:55:07,651 ] 31 root - INFO - Inititate Data Validation.
[ 2026-07-27 00:55:07,734 ] 35 root - INFO - Required number of columns : 31
[ 2026-07-27 00:55:07,734 ] 36 root - INFO - DataFrame Artifacts\07_27_2026_00_54_59\data_ingestion\ingested\train.csv has 31 columns.
[ 2026-07-27 00:55:07,734 ] 35 root - INFO - Required number of columns : 31
[ 2026-07-27 00:55:07,734 ] 36 root - INFO - DataFrame Artifacts\07_27_2026_00_54_59\data_ingestion\ingested\test.csv has 31 columns.
[ 2026-07-27 00:55:07,736 ] 45 root - INFO - Numeric columns found in Artifacts\07_27_2026_00_54_59\data_ingestion\ingested\train.csv: ['having_IP_Address', 'URL_Length', 'Shortining_Service', 'having_At_Symbol', 'double_slash_redirecting', 'Prefix_Suffix', 'having_Sub_Domain', 'SSLfinal_State', 'Domain_registeration_length', 'Favicon', 'port', 'HTTPS_token', 'Request_URL', 'URL_of_Anchor', 'Links_in_tags', 'SFH', 'Submitting_to_email', 'Abnormal_URL', 'Redirect', 'on_mouseover', 'RightClick', 'popUpWidnow', 'Iframe', 'age_of_domain', 'DNSRecord', 'web_traffic', 'Page_Rank', 'Google_Index', 'Links_pointing_to_page', 'Statistical_report', 'Result']
[ 2026-07-27 00:55:07,737 ] 45 root - INFO - Numeric columns found in Artifacts\07_27_2026_00_54_59\data_ingestion\ingested\test.csv: ['having_IP_Address', 'URL_Length', 'Shortining_Service', 'having_At_Symbol', 'double_slash_redirecting', 'Prefix_Suffix', 'having_Sub_Domain', 'SSLfinal_State', 'Domain_registeration_length', 'Favicon', 'port', 'HTTPS_token', 'Request_URL', 'URL_of_Anchor', 'Links_in_tags', 'SFH', 'Submitting_to_email', 'Abnormal_URL', 'Redirect', 'on_mouseover', 'RightClick', 'popUpWidnow', 'Iframe', 'age_of_domain', 'DNSRecord', 'web_traffic', 'Page_Rank', 'Google_Index', 'Links_pointing_to_page', 'Statistical_report', 'Result']
[ 2026-07-27 00:55:07,969 ] 33 root - INFO - Data Validation Complete.
[ 2026-07-27 00:55:07,970 ] 37 root - INFO - Initiate Data Transformation.
[ 2026-07-27 00:55:07,970 ] 64 root - INFO - Entered inititate_data_transformation method of DataTransformation class
[ 2026-07-27 00:55:07,970 ] 66 root - INFO - Starting data Transformation
[ 2026-07-27 00:55:08,067 ] 49 root - INFO - Entered get_data_transformer_object method of Transformer class
[ 2026-07-27 00:55:08,067 ] 54 root - INFO - Initialized KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2026-07-27 00:55:08,087 ] 65 root - INFO - Entered the save_object method of main_utils/utils class.
[ 2026-07-27 00:55:08,090 ] 69 root - INFO - Exited the save_object method of main_utils/utils class.
[ 2026-07-27 00:55:08,093 ] 41 root - INFO - Data Transformation Completed.
[ 2026-07-27 00:55:08,093 ] 45 root - INFO - Initiate Model Training.
[ 2026-07-27 00:55:08,093 ] 108 root - INFO - Entered initiate_model_trainer of ModelTrainer class.
[ 2026-07-27 00:55:08,093 ] 53 root - INFO - Entered the load_numpy_array_data method of main_utils/utils class.
[ 2026-07-27 00:55:08,107 ] 53 root - INFO - Entered the load_numpy_array_data method of main_utils/utils class.
[ 2026-07-27 00:55:08,122 ] 64 root - INFO - Evaluating best Model.
[ 2026-07-27 00:55:08,341 ] 74 root - INFO - The best model is : Logistic Regression with accuracy score : 0.6911704906109495
[ 2026-07-27 00:55:08,371 ] 75 root - INFO - Entered the load_object method of main_utils/utils class.
[ 2026-07-27 00:55:08,386 ] 83 root - INFO - Exited the load_object method of main_utils/utils class.
[ 2026-07-27 00:55:08,386 ] 65 root - INFO - Entered the save_object method of main_utils/utils class.
[ 2026-07-27 00:55:08,388 ] 69 root - INFO - Exited the save_object method of main_utils/utils class.
[ 2026-07-27 00:55:08,388 ] 101 root - INFO - Model trainer artifact created.
[ 2026-07-27 00:55:08,389 ] 49 root - INFO - Model Training Completed. Model training artifact created.
